1,Get Neighbors Test,0
2,Get Neighbors Test,0|0
3,Get Neighbors Test,0|1
4,Get Neighbors Test,1|0
5,Get Neighbors Test,1|1
6,Get Neighbors Test,0|0|0
7,Get Neighbors Test,0|0|1
8,Get Neighbors Test,0|0|2
9,Get Neighbors Test,0|1|0
10,Get Neighbors Test,0|1|1
11,Get Neighbors Test,0|1|2
12,Get Neighbors Test,0|2|0
13,Get Neighbors Test,0|2|1
14,Get Neighbors Test,0|2|2
15,Get Neighbors Test,1|0|0
16,Get Neighbors Test,1|0|1
17,Get Neighbors Test,1|0|2
18,Get Neighbors Test,1|1|0
19,Get Neighbors Test,1|1|1
20,Get Neighbors Test,1|1|2
21,Get Neighbors Test,1|2|0
22,Get Neighbors Test,1|2|1
23,Get Neighbors Test,1|2|2
24,Get Neighbors Test,2|0|0
25,Get Neighbors Test,2|0|1
26,Get Neighbors Test,2|0|2
27,Get Neighbors Test,2|1|0
28,Get Neighbors Test,2|1|1
29,Get Neighbors Test,2|1|2
30,Get Neighbors Test,2|2|0
31,Get Neighbors Test,2|2|1
32,Get Neighbors Test,2|2|2
33,Get Neighbors Test,0|0|0|0
34,Get Neighbors Test,0|0|0|1
35,Get Neighbors Test,0|0|0|2
36,Get Neighbors Test,0|0|0|3
37,Get Neighbors Test,0|0|1|0
38,Get Neighbors Test,0|0|1|1
39,Get Neighbors Test,0|0|1|2
40,Get Neighbors Test,0|0|1|3
41,Get Neighbors Test,0|0|2|0
42,Get Neighbors Test,0|0|2|1
43,Get Neighbors Test,0|0|2|2
44,Get Neighbors Test,0|0|2|3
45,Get Neighbors Test,0|0|3|0
46,Get Neighbors Test,0|0|3|1
47,Get Neighbors Test,0|0|3|2
48,Get Neighbors Test,0|0|3|3
49,Get Neighbors Test,0|1|0|0
50,Get Neighbors Test,0|1|0|1
51,Get Neighbors Test,0|1|0|2
52,Get Neighbors Test,0|1|0|3
53,Get Neighbors Test,0|1|1|0
54,Get Neighbors Test,0|1|1|1
55,Get Neighbors Test,0|1|1|2
56,Get Neighbors Test,0|1|1|3
57,Get Neighbors Test,0|1|2|0
58,Get Neighbors Test,0|1|2|1
59,Get Neighbors Test,0|1|2|2
60,Get Neighbors Test,0|1|2|3
61,Get Neighbors Test,0|1|3|0
62,Get Neighbors Test,0|1|3|1
63,Get Neighbors Test,0|1|3|2
64,Get Neighbors Test,0|1|3|3
65,Get Neighbors Test,0|2|0|0
66,Get Neighbors Test,0|2|0|1
67,Get Neighbors Test,0|2|0|2
68,Get Neighbors Test,0|2|0|3
